nodeId,tier,effectType,effectValue,isPercentage,parentIds,cost,uiX,uiY,displayNameKey,descriptionKey,locked,targetMineral,icon,lineBends
MiningRange_T0_01,0,MiningRangeUp,0.1,false,,20,0,150,넓은 삽날 I,한 번에 파내는 범위가 +0.1 넓어집니다.,false,,,
ShovelStamina_T0_01,0,ShovelStaminaReduce,-0.05,false,MiningRange_T0_01,30,-262.5,270,가벼운 삽질 I,삽질 1회 비용이 0.025 줄어듭니다(기준 0.5).,false,,,MiningRange_T0_01=-262.5:210
InventoryWeight_T0_01,0,InventoryWeightUp,4,false,MiningRange_T0_01,40,87.5,390,가방 확장 I,가방 무게 한도가 +4 늘어납니다.,false,,,MiningRange_T0_01=87.5:210|87.5:270|87.5:330
Facility_Map_T0,0,None,0,false,MiningRange_T0_01,50,262.5,510,지도 장비 구입,휴대용 지도 장비를 들여 미니맵과 전체 지도(M)를 볼 수 있게 됩니다.,false,,,MiningRange_T0_01=262.5:210|262.5:270|262.5:330|262.5:390|262.5:450
MiningSpeed_T0_01,0,MiningSpeedUp,0.15,false,MiningRange_T0_01,50,-87.5,510,빠른 차징 I,삽 차징 속도가 +0.15 빨라집니다(기준 1.0).,false,,,MiningRange_T0_01=-87.5:210|-87.5:270|-87.5:330|-87.5:390|-87.5:450
RelicUnlock_ElevatorTracker_T0,0,None,0,false,InventoryWeight_T0_01;Facility_Map_T0,60,262.5,660,엘리베이터 신호기 입수,유물 '엘리베이터 신호기'를 얻습니다. 엘리베이터가 지도에 표시됩니다.,false,,,InventoryWeight_T0_01=87.5:450|87.5:510|262.5:585
MaxStamina_T0_01,0,MaxStaminaUp,10,false,MiningSpeed_T0_01;MiningRange_T0_02,60,-262.5,660,지구력 강화 I,최대 스태미나가 +10 증가합니다.,false,,,MiningSpeed_T0_01=-262.5:585
PickaxeUnlock_T0_01,0,None,0,false,RelicUnlock_ElevatorTracker_T0;MaxStamina_T0_01,70,0,810,곡괭이 입수,곡괭이를 쓸 수 있게 됩니다. 단단한 돌을 캐 희귀 광물을 얻습니다.,false,,,RelicUnlock_ElevatorTracker_T0=0:735;MaxStamina_T0_01=0:735
ClimbSpeed_T0_01,0,WallClimbSpeed,0.1,false,PickaxeUnlock_T0_01,100,175,930,등반 요령 I,벽 타기 속도가 +0.1 빨라집니다(기준 1.0).,false,,,PickaxeUnlock_T0_01=175:870
ClimbMiningUnlock_T0,0,None,0,false,ClimbSpeed_T0_01,130,175,1170,한 손 채굴,벽에 매달린 채로 삽질·곡괭이질을 할 수 있게 됩니다.,false,,,
PickaxeStamina_T0_01,0,PickaxeStaminaReduce,-0.05,false,PickaxeUnlock_T0_01,100,-175,930,가벼운 곡괭이질 I,곡괭이질 1회 비용이 0.025 줄어듭니다(기준 0.5).,false,,,PickaxeUnlock_T0_01=-175:870
