key,kr,en,cn
STOCK_COMP_MEDIGEN,메디젠 바이오,MediGen Bio,美迪根生物
STOCK_COMP_MEDIGEN_DESC,백신 및 바이오 의약품 전문 기업,Vaccine and bio-pharma company,疫苗与生物制药公司
STOCK_COMP_NEXCHIP,넥스칩,NexChip,内克斯芯片
STOCK_COMP_NEXCHIP_DESC,차세대 반도체 및 파운드리 기업,Next-gen semiconductor and foundry company,下一代半导体与代工企业
STOCK_COMP_AEROLINK,에어로링크,AeroLink,航空链接
STOCK_COMP_AEROLINK_DESC,글로벌 물류 및 항공 운송 기업,Global logistics and air transport company,全球物流与航空运输企业
STOCK_COMP_DEEPAI,딥AI,DeepAI,深度AI
STOCK_COMP_DEEPAI_DESC,인공지능 및 클라우드 솔루션 제공,AI and cloud solutions provider,人工智能与云解决方案提供商
STOCK_COMP_ECOENERGY,에코에너지,EcoEnergy,生态能源
STOCK_COMP_ECOENERGY_DESC,재생 에너지 및 전기차 배터리 기업,Renewable energy and EV battery company,可再生能源与电动车电池企业
STOCK_COMP_TITANIUM,타이타늄 디펜스,Titanium Defense,钛防务
STOCK_COMP_TITANIUM_DESC,고강도 특수 합금 및 군용 우주 방산 소재 전문 기업,Special high-strength alloys and military aerospace defense materials company,特种高强度合金及军用航天防务材料公司
STOCK_COMP_FUTUREFOOD,미래푸드 테크,Future Food Tech,未来食品科技
STOCK_COMP_FUTUREFOOD_DESC,대체 육류 및 고부가가치 미래 식량 솔루션 선도 기업,Alternative meats and high-value future food solutions leader,替代肉类及高附加值未来食品解决方案领先企业
STOCK_COMP_VITABANK,비타 핀테크,Vita Fintech,维他金融科技
STOCK_COMP_VITABANK_DESC,초고속 개인 맞춤형 금융 자산 포트폴리오 플랫폼 기업,Ultra-fast personalized financial portfolio platform company,极速个性化金融资产组合平台企业
STOCK_COMP_STARSPACE,스타 스페이스,Star Space,恒星航天
STOCK_COMP_STARSPACE_DESC,민간 인공위성 발사 및 차세대 행성 탐사 개발 기업,Private satellite launches and next-gen planetary exploration developer,民营卫星发射及下一代行星探测开发企业
STOCK_COMP_CYBERNET,사이버넷 엔터,CyberNet Enter,网际娱乐
STOCK_COMP_CYBERNET_DESC,가상현실 기반 다중 접속 메타버스 플랫폼 개발사,Virtual reality-based multi-access metaverse platform developer,基于虚拟现实的多人联机元宇宙平台开发商
STOCK_COMP_DAILYMART,데일리마트,DailyMart,每日超市
STOCK_COMP_DAILYMART_DESC,전국 편의점·생활용품 유통 체인,Nationwide convenience store and daily goods chain,全国便利店与生活用品流通连锁
STOCK_COMP_DEEPROCK,딥록 마이닝,DeepRock Mining,深岩矿业
STOCK_COMP_DEEPROCK_DESC,소규모 광산 개발 및 원석 채굴 전문 기업,Small-scale mine development and ore extraction company,小型矿山开发与原石开采专业企业
STOCK_COMP_SUNWELL,선웰 오일,SunWell Oil,阳井石油
STOCK_COMP_SUNWELL_DESC,정유 및 주유소 네트워크 운영 기업,Oil refining and gas station network operator,炼油及加油站网络运营企业
STOCK_COMP_PIXELWORKS,픽셀웍스,PixelWorks,像素工坊
STOCK_COMP_PIXELWORKS_DESC,인디 게임 및 모바일 콘텐츠 개발 스튜디오,Indie game and mobile content studio,独立游戏与移动内容开发工作室
STOCK_COMP_FROSTLINE,프로스트라인,FrostLine,冰霜航线
STOCK_COMP_FROSTLINE_DESC,신선식품 콜드체인 물류 전문 기업,Fresh food cold-chain logistics specialist,生鲜食品冷链物流专业企业
STOCK_COMP_STEELCORE,스틸코어,SteelCore,钢芯集团
STOCK_COMP_STEELCORE_DESC,특수강 및 산업용 금속 소재 생산 기업,Special steel and industrial metal materials producer,特种钢与工业金属材料生产企业
STOCK_COMP_BIOPURE,바이오퓨어,BioPure,倍优纯生物
STOCK_COMP_BIOPURE_DESC,제네릭 의약품 및 건강기능식품 제조사,Generic drugs and health supplements manufacturer,仿制药与保健功能食品制造商
STOCK_COMP_VOLTCELL,볼트셀,VoltCell,伏特电芯
STOCK_COMP_VOLTCELL_DESC,전기차 2차전지 및 에너지 저장 장치 기업,EV batteries and energy storage systems company,电动车二次电池与储能装置企业
STOCK_COMP_LUXORA,럭스오라,Luxora,璐克索拉
