key,kr,en,cn
tip_01,드릴로 땅을 파서 광물을 수집하세요.,Use the drill to dig and collect minerals.,使用鑽頭挖掘並收集礦石。
tip_02,가방이 무거워지면 이동 속도가 느려집니다.,The heavier your bag, the slower you move.,背包越重，移動速度越慢。
tip_03,배터리가 방전되기 전에 지상으로 복귀하세요.,Return to the surface before your battery runs out.,在電池耗盡前返回地面。
tip_04,광물을 팔아 장비를 업그레이드할 수 있습니다.,Sell minerals to upgrade your equipment.,出售礦石以升級裝備。
tip_05,지형에 따라 채굴 난이도가 다릅니다.,Mining difficulty varies by terrain.,挖掘難度因地形而異。
tip_06,업그레이드 센터에서 드릴 성능을 강화할 수 있습니다.,Enhance drill performance at the Upgrade Center.,在升級中心強化鑽頭 성능。
tip_07,창고에 보관된 아이템은 죽어도 사라지지 않습니다.,Items stored in the warehouse are safe even if you die.,儲存在倉庫中的物品即使死亡也不會消失。
tip_08,더 깊이 내려갈수록 더 희귀한 광물을 발견할 수 있습니다.,The deeper you go, the rarer minerals you can find.,越往深處，越能發現稀有礦石。
tip_09,비상 탈출 시 소지한 광물의 일부를 잃게 됩니다.,You will lose some minerals during an emergency escape.,緊急 탈출 시 소지한 礦石의 一部를 잃게 됩니다.
tip_10,배터리가 부족할 때는 무리한 탐사보다 복귀를 우선하세요.,Prioritize returning over exploring when battery is low.,電池不足時，優先考慮返回而非繼續探索。
tip_11,다양한 소모품을 활용해 탐사 효율을 높여보세요.,Use various consumables to increase exploration efficiency.,使用各種消耗品來提高探索效率。
tip_12,수집한 유물은 박물관에 기부하거나 팔 수 있습니다.,Collected relics can be donated to the museum or sold.,收集的遺物可以捐贈給博物館或出售。
tip_13,특정 지형은 일반 드릴로 파괴되지 않을 수 있습니다.,Certain terrains may not be breakable with a basic drill.,特定地形可能無法用普通鑽頭破壞。
tip_14,지도에 표시된 거점들을 활용해 이동 시간을 단축하세요.,Use bases shown on the map to shorten travel time.,利用地圖上標示的據點來縮短移動時間。
tip_15,장비의 내구도를 수시로 확인하고 수리하세요.,Check and repair your equipment durability frequently.,經常檢查並維修裝비의 耐久度。
