key,kr,en,cn
equip_mining_hat_name,광부의 모자,Miner's Hat,矿工帽
equip_mining_hat_desc,초보 광부들에게 지급되는 기본적인 안전모.,Basic hard hat given to novice miners.,发给新手矿工的基本安全帽。
equip_sturdy_clothes_name,튼튼한 작업복,Sturdy Work Clothes,结实的工作服
equip_sturdy_clothes_desc,스크래치와 열로부터 몸을 보호해줍니다.,Protects the body from scratches and heat.,保护身体免受刮伤和高温。
equip_light_shoes_name,가벼운 신발,Light Shoes,轻便的鞋子
equip_light_shoes_desc,이동 속도를 조금 높여주는 편안한 신발.,Comfortable shoes that slightly increase movement speed.,稍微提高移动速度的舒适鞋子。
equip_test_relic_name,테스트 유물,Test Relic,测试遗物
equip_test_relic_desc,테스트용 유물입니다.,A relic for testing.,用于测试的遗物。
equip_climber_helmet_name,등반가의 헬멧,Climber's Helmet,登山者头盔
equip_climber_helmet_desc,험한 벽을 오르는 등반가를 위한 가벼운 헬멧.,A light helmet for climbers scaling rough walls.,为攀爬险壁的登山者准备的轻便头盔。
equip_climber_armor_name,등반가의 복장,Climber's Gear,登山者服装
equip_climber_armor_desc,벽타기에 최적화된 신축성 있는 복장.,Stretchy gear optimized for wall climbing.,为攀爬优化的弹性服装。
equip_climber_boots_name,등반가의 신발,Climber's Boots,登山者靴子
equip_climber_boots_desc,접지력이 뛰어나 벽을 잘 타게 해주는 신발.,Grippy boots that make wall climbing easier.,抓地力出色便于攀爬的靴子。
equip_miner_helmet_name,광부의 헬멧,Miner's Helmet,矿工头盔
equip_miner_helmet_desc,채굴 작업에 특화된 튼튼한 헬멧.,A sturdy helmet specialized for mining.,专为采矿作业打造的坚固头盔。
equip_miner_armor_name,광부의 복장,Miner's Outfit,矿工服装
equip_miner_armor_desc,낙석과 먼지로부터 몸을 지켜주는 작업복.,Work clothes that protect against falling rocks and dust.,保护身体免受落石与粉尘的工作服。
equip_miner_boots_name,광부의 부츠,Miner's Boots,矿工靴子
