1단계 적정 유물                                                                             ,,,레벨1,레벨2,레벨3
이동,거미줄 장갑(P),벽에 매달려 상하좌우로 이동하는 속도가 대폭 증가.,하,,
,고물 스프링(P),"점프 키를 꾹 누르고 있으면 캐릭터가 찌그러지듯 압축되고, 떼는 순간 화면 위쪽까지 솟구치는 슈퍼 점프.",최대 충전 정도,,
,비둘기 깃털(P),공중에서 점프키 누를시 이단 점프.,,,
,발전기 (A),사용시 배터리 회복량이 증가합니다.,,,
,(P),삽 채굴시 일정 확률로 폭탄 드랍,확률10,20,30
,,곡괭이 공격이 3타만 나가게 변경. + a,,,
,,"사용시 주변으로 파동나가며 청크 있을때 표시.(쿨타임 1분)++화면 범위보다 큼, 청크만 탐지 가능, 플레이어주변과 지도 둘다",,쿨타임 감소,범위증가
,플라즈마 커터(A),사용 시 일직선으로 뻗어 나가는 거대한 레이저 빔을 3초간 발사하여 닿는 지형을 녹임(쿨타임 1분) 사용중 이속 낮추기,3초,5초,7초
,굴착 드론 (P),주변의 블록을 알아서 조금씩 파괴하는 소형 드론  ,1기,효율증가,2기
,모루(P),낙공가능(스탬프 처럼 찍으며 아래 일부 파괴)-무게비례 낙공 크기 증가 로그함수,,파지는 정도 증가,낙공시 낙뎀제거
,,"3초간 화면이 흑백(X-ray)으로 반전되고, 화면내 흙 너머에 숨겨진 광물이나 청크, 함정 보기 가능  (쿨타임 2분)",3초,5초,7초
,,5초 동안 캐릭터에게 작용하는 중력이 거꾸로 뒤집힙니다. 한번누르면 원래 중력으로 복귀,,7초,
,,"드릴 대쉬 끝나는 지점에서 폭발 발생. (자동발동, 쿨타임 10초)",폭발력,증가,증증가
,스테로이드(A),사용후 일정 시간내 삽공격시 주변을 원으로 파내는 공격함.,범위,,
,자석(A),아이템을 자동으로 가방으로 끌어옴. 끌어온 아이템들 가치 증가.,,가치 증가 정도+,"1번, 가방에 있는 아이템 판매 가능(땅에서)"
쌀먹,,사용시 일정시간 무적 (쿨타임 1분),,무적 시간 증가,쿨타임 감소
,mp3(P),"비트. 머리위에 바같이 비트를 알수있는게 생기고 비트에 맞춰 삽, 곡괭이질할시 파는 범위 증가됨.",,비트 판정 완화,황금비트(범위 더 증가) 가끔씩 옴
,,플레이어 무게가 무거울수록 뛰어내리면 떨어진곳에 땅이 파짐,강화할수록 범위 넓어짐?,,
,,"삽으로돌을, 곡괭이로 땅을파게 매커니즘을 변경합니다.( 모션만 변경해도 ㄱㅊ---삽을으로 땅을 파지만 곡괭이 모션)",강화없음,,
,,,,,
,용광로(P),"상태이상 수치가 높을수록 채굴 속도,범위 대폭 증가",,,
,,,,,
,,,,,
,제트팩(A),"제트팩, 드릴 연료 소모-드릴대체",연료 소모량,,
,,,,,
,번개(A),"광물이 있는곳들을 연쇄적으로 판다 번개의 경로 부분은 다 파기 사용시 10초동안 지속, 3분",,,
,과부하 배터리(A),드릴대쉬때 배터리 효율이 2배 늘어나지만 방향이 무작위로 바뀝니다,,,
,맹인(P),"시야가 극도로 줄어들지만 삽으로 때린곳에서 파동이 나가서 주변을 보게 된다, 이 파동으로는 땅 속 광물도 탐지 가능(우선순위 나중)",,,
,도박꾼의 안경(P),"땅 파지는 범위와 곡괭이질 데미지가 0.1 ~ 2.0 사이에서 무작위로 정해지고, 제일 망한게 뜨면 폭팔광물같은 안좋은 상황 나오고 잭팟뜨면 흑섬",,,
,암시장(A),"1번, 가방에 있는 아이템 판매 가능(땅에서)",,,
