chainId,nameKey,totalPhases,weight,minDayGap,maxDayGap
chain_pandemic,CHAIN_PANDEMIC,3,10,3,8
chain_chip_shortage,CHAIN_CHIP_SHORTAGE,3,8,2,6
chain_ai_regulation,CHAIN_AI_REGULATION,3,7,1,5
chain_space_defense,CHAIN_SPACE_DEFENSE,3,9,2,6
chain_renewable_breakthrough,CHAIN_RENEWABLE_BREAKTHROUGH,3,8,3,7
chain_resource_rush,CHAIN_RESOURCE_RUSH,3,9,2,6
chain_oil_shock,CHAIN_OIL_SHOCK,3,7,2,6
chain_game_boom,CHAIN_GAME_BOOM,3,8,1,5
chain_bank_stress,CHAIN_BANK_STRESS,3,7,2,6
chain_logistics_strike,CHAIN_LOGISTICS_STRIKE,3,7,1,5

chain_meme_surge,CHAIN_MEME_SURGE,4,4,1,2
chain_resource_squeeze,CHAIN_RESOURCE_SQUEEZE,4,4,1,2
chain_tech_mania,CHAIN_TECH_MANIA,4,4,1,2

chain_robotics_boom,CHAIN_ROBOTICS_BOOM,3,8,2,6
chain_cyber_attack,CHAIN_CYBER_ATTACK,3,8,1,5
chain_telecom_merger,CHAIN_TELECOM_MERGER,3,7,2,6
chain_agri_drought,CHAIN_AGRI_DROUGHT,3,8,2,6
chain_tourism_reopen,CHAIN_TOURISM_REOPEN,3,7,2,6
chain_ecommerce_war,CHAIN_ECOMMERCE_WAR,3,7,1,5
chain_chemical_spill,CHAIN_CHEMICAL_SPILL,3,7,2,6
chain_construction_boom,CHAIN_CONSTRUCTION_BOOM,3,8,3,7
chain_automotive_recall,CHAIN_AUTOMOTIVE_RECALL,3,7,2,6
chain_health_reform,CHAIN_HEALTH_REFORM,3,7,2,6
chain_crypto_crackdown,CHAIN_CRYPTO_CRACKDOWN,3,8,1,5
chain_food_safety,CHAIN_FOOD_SAFETY,3,7,1,5
chain_biotech_frenzy,CHAIN_BIOTECH_FRENZY,4,4,1,2
chain_defense_scramble,CHAIN_DEFENSE_SCRAMBLE,4,4,1,2
