key,kr,en,cn
tt_quantity,수량: {0},Quantity: {0},數量: {0}
tt_max_stack, (최대 {0}), (Max {0}), (最大 {0})
tt_stackable, (스택 가능), (Stackable), (可堆疊)
tt_unstackable, (스택 불가), (Unstackable), (不可堆疊)
tt_weight,"무게: {0:0.0}","Weight: {0:0.0}","重量: {0:0.0}"
tt_quantity_label,수량,Quantity,數量
tt_weight_label,무게,Weight,重量
tt_enhance_label,강화,Enhance,強化
tt_encumbered,"
[경고] 과적 상태입니다.","
[Warning] Overweight.","
[警告] 超重。"
tt_effect_label,효과: ,Effect: ,效果: 
tt_cost_format,비용: {0} 골드,Cost: {0} Gold,花費: {0} 金幣
tt_unlocked,해금됨,Unlocked,已解鎖
tt_can_unlock,해금 가능,Can Unlock,可解鎖
tt_locked,잠김,Locked,鎖定
tt_prereq_label,선행 조건:,Prerequisite:,先決條件:
tt_insufficient_gold,골드 부족 (현재: {0}),Not enough Gold (Have: {0}),金幣不足 (現有: {0})
tt_price_label,판매 가격: {0}골드,Price: {0} Gold,售價: {0}金幣
ui_shop_gold_prefix,골드: ,Gold: ,金幣: 
ui_shop_sell_format,"{0} {1}개 판매
예상 가격: {2} G","Sell {1}x {0}
Expected: {2} G","出賣 {1}個 {0}
預計: {2} G"
ui_shop_price_format,{0}골드,{0} Gold,{0}金幣
ui_shop_stock_unlimited,재고: 무제한,Stock: Unlimited,庫存: 無限
ui_shop_stock_format,재고: {0},Stock: {0},庫存: {0}
ui_shop_buy_title_format,{0} 구매,Buy {0},購買 {0}
ui_shop_buy_info_format,"가격: {0}골드
최대 구매 가능: {1}개","Price: {0} Gold
Max Buy: {1}","價格: {0}金幣
最大購買量: {1}"
ui_inv_item,아이템,Items,物品
ui_inv_weight,무게,Weight,重量
ui_inv_equip,장비,Equipment,裝備
ui_inv_drop,버리기,Drop,丟棄
ui_inv_owned,현재 보유,Owned,當前持有
ui_inv_count_unit,개,,個
ui_inv_enter_drop_count,버릴 개수를 입력하세요.,Enter drop amount.,請輸入丟棄數量。
ui_inv_head,머리,Head,頭部
ui_inv_clothes,옷,Clothes,服裝
ui_inv_shoes,신발,Shoes,鞋子
ui_inv_relic,유물,Relic,遺物
ui_relic_slot_locked,잠김,Locked,鎖定
ui_warehouse_bag,가방,Bag,背包
ui_subquest_title,서브퀘스트,Sub Quests,支線任務
ui_subquest_slot_info,서브퀘스트 슬롯: {0}/{1},Quest Slots: {0}/{1},任務槽: {0}/{1}
ui_subquest_empty,수락 가능한 서브퀘스트가 없습니다.,No available sub quests.,沒有可接的支線任務。
ui_subquest_no_manager,퀘스트 매니저를 찾을 수 없습니다.,Quest Manager not found.,找不到任務管理器。
ui_subquest_mining_level,채광 Lv.{0},Mining Lv.{0},採礦 Lv.{0}
