id,nameKey,descKey,tags,basePrice,volatility,reliability,reputation,marketCap,listingOrder,tier
comp_dailymart,STOCK_COMP_DAILYMART,STOCK_COMP_DAILYMART_DESC,retail,300,0.25,0.60,0.50,C,1,1
comp_deeprock,STOCK_COMP_DEEPROCK,STOCK_COMP_DEEPROCK_DESC,mining,500,0.30,0.55,0.45,C,2,1
comp_futurefood,STOCK_COMP_FUTUREFOOD,STOCK_COMP_FUTUREFOOD_DESC,food,600,0.30,0.65,0.70,C,3,1
comp_sunwell,STOCK_COMP_SUNWELL,STOCK_COMP_SUNWELL_DESC,energy,800,0.24,0.65,0.55,C,4,1
comp_ecoenergy,STOCK_COMP_ECOENERGY,STOCK_COMP_ECOENERGY_DESC,renewable|battery,1000,0.20,0.75,0.80,B,5,1
comp_aerolink,STOCK_COMP_AEROLINK,STOCK_COMP_AEROLINK_DESC,logistics,1200,0.15,0.60,0.50,C,6,1
comp_medigen,STOCK_COMP_MEDIGEN,STOCK_COMP_MEDIGEN_DESC,pharma|bio,1600,0.35,0.70,0.60,B,7,1
comp_pixelworks,STOCK_COMP_PIXELWORKS,STOCK_COMP_PIXELWORKS_DESC,software,3900,0.38,0.55,0.60,B,8,2
comp_titanium,STOCK_COMP_TITANIUM,STOCK_COMP_TITANIUM_DESC,defense,4600,0.22,0.80,0.85,A,9,2
comp_frostline,STOCK_COMP_FROSTLINE,STOCK_COMP_FROSTLINE_DESC,logistics,4900,0.18,0.70,0.60,B,10,2
comp_steelcore,STOCK_COMP_STEELCORE,STOCK_COMP_STEELCORE_DESC,materials,5200,0.20,0.75,0.65,B,11,2
comp_cybernet,STOCK_COMP_CYBERNET,STOCK_COMP_CYBERNET_DESC,software,5500,0.32,0.70,0.65,B,12,2
comp_biopure,STOCK_COMP_BIOPURE,STOCK_COMP_BIOPURE_DESC,bio,6100,0.33,0.60,0.55,B,13,2
comp_vitabank,STOCK_COMP_VITABANK,STOCK_COMP_VITABANK_DESC,finance|software,7400,0.18,0.90,0.80,A,14,2
comp_voltcell,STOCK_COMP_VOLTCELL,STOCK_COMP_VOLTCELL_DESC,battery,8100,0.28,0.70,0.75,A,15,2
comp_nexchip,STOCK_COMP_NEXCHIP,STOCK_COMP_NEXCHIP_DESC,semiconductor,24500,0.25,0.85,0.90,A,16,3
comp_luxora,STOCK_COMP_LUXORA,STOCK_COMP_LUXORA_DESC,consumer|retail,26000,0.26,0.70,0.75,A,17,3
comp_aegis,STOCK_COMP_AEGIS,STOCK_COMP_AEGIS_DESC,defense,28000,0.26,0.75,0.80,A,18,3
comp_starspace,STOCK_COMP_STARSPACE,STOCK_COMP_STARSPACE_DESC,hardware,29000,0.40,0.60,0.75,B,19,3
