seriesKey,nameBase,renumberId,steps,stepTail,descTemplate,exclude
MiningRange,넓은 삽날,true,0.1;0.15;0.2;0.3;0.12;0.15;0.18,0.03,한 번에 파내는 범위가 +{v} 넓어집니다.,
ShovelStamina,가벼운 삽질,true,-0.1;-0.1;-0.1;-0.1,0,삽질 1회 비용이 {abs*0.5} 줄어듭니다(기준 0.5).,
InventoryWeight,가방 확장,true,4,4,가방 무게 한도가 +{v} 늘어납니다.,
MiningSpeed,빠른 차징,true,0.15;0.2;0.3;0.12,0,삽 차징 속도가 +{v} 빨라집니다(기준 1.0).,
MaxStamina,지구력 강화,true,10;15;20;10;12,2,최대 스태미나가 +{v} 증가합니다.,
ClimbSpeed,등반 요령,true,0.1;0.15;0.15,0,벽 타기 속도가 +{v} 빨라집니다(기준 1.0).,
PickaxeStamina,가벼운 곡괭이질,true,-0.1;-0.1;-0.1,0,곡괭이질 1회 비용이 {abs*0.5} 줄어듭니다(기준 0.5).,
JumpForce,점프력 강화,true,0.75,0,점프력이 +{v} 증가합니다(기준 5).,
InventorySlot,수납 주머니,true,1;1,0,소모품을 넣을 수 있는 칸이 {v}개 늘어납니다.,
StaminaCost,효율적인 호흡,true,-0.15;-0.15,0,행동 시 스태미나 소모가 {abspct}%p 감소합니다(기준 1.0).,
MineralExtraDrop,광물 탐지기,true,10;10,0,광물을 캘 때 추가로 하나 더 나올 확률이 {v}% 늘어납니다.,
PickaxeDamage,곡괭이 위력,true,0.5,0.5,,
RareMineral,감별사의 눈,true,20;20,0,,
Nap,짧은 낮잠,true,1;1,0,하루에 낮잠을 {v}회 잘 수 있습니다. 시세가 한 틱 흐릅니다.,
DrillRegen,드릴 충전기,true,0.1,0,드릴 배터리가 초당 {v}씩 저절로 회복됩니다(용량 기준 5).,
DrillRadius,드릴 확장 비트,true,0.05,0,드릴이 파는 범위가 +{v} 넓어집니다(기준 0.5).,
DrillDrain,드릴 절전 모드,true,-0.15,0,드릴 배터리 소모가 {abspct}% 줄어듭니다(기준 1).,
MoveSpeed,하체 운동,true,0.25,0,이동 속도가 +{v} 빨라집니다(기준 2.4).,
RelicSlot,유물 슬롯,true,1;1,0,,
